id1,id2,numax1,numax2,sep_arcsec,teff1,teff2,rad1,rad2,dist1,dist2
349834512,349832704,34.44856405193162,32.76046162625276,134.19025978167406,4811.0,4695.0,10.018,11.114,1516.12,2168.19
300710619,300710606,33.3173516795758,36.82039524587116,91.05795885253,4650.0,4899.3,10.911,10.146,1317.88,934.41
349523916,349523922,39.717655355229454,39.90225424218658,34.49843769429371,4747.0,4742.0,10.872,12.776,1289.33,3640.18
349523922,349523916,39.90225424218658,39.717655355229454,34.49843769428829,4742.0,4747.0,12.776,10.872,3640.18,1289.33
300710606,300710619,36.82039524587116,33.3173516795758,91.05795885253822,4899.3,4650.0,10.146,10.911,934.41,1317.88
300705090,300705098,25.306708931744712,24.938438799580208,37.358792441490216,4927.0,5169.0,9.581,10.214,3052.62,1772.68
300705098,300705090,24.938438799580208,25.306708931744712,37.35879244148591,5169.0,4927.0,10.214,9.581,1772.68,3052.62
382157299,382157302,32.69746213628409,32.68198979435692,31.002943785618594,4747.4,4951.0,10.567,2.763,683.852,591.34
382157302,382157299,32.68198979435692,32.69746213628409,31.002943785630833,4951.0,4747.4,2.763,10.567,591.34,683.852
38681452,38681457,32.47651695606148,31.063397364481425,100.11267062175432,4642.6,5205.0,10.678,8.543,663.125,1384.79
38681457,38681452,31.063397364481425,32.47651695606148,100.11267062174879,5205.0,4642.6,8.543,10.678,1384.79,663.125
141435870,141435871,12.524619537285094,12.567691188663224,31.19793765594187,4587.0,4824.0,12.766,7.08,2892.05,1767.64
141435871,141435870,12.567691188663224,12.524619537285094,31.197937655943207,4824.0,4587.0,7.08,12.766,1767.64,2892.05
349965667,349965657,20.030485369350263,19.41212588388645,51.270494087552926,4426.0,4705.0,15.427,9.814,1275.9,2030.68
349965657,349965667,19.41212588388645,20.030485369350263,51.27049408754276,4705.0,4426.0,9.814,15.427,2030.68,1275.9
141909731,141909734,38.5817372981629,40.25645083929759,14.226785193195063,4447.0,4669.0,16.987,10.585,2481.46,1252.96
141909734,141909731,40.25645083929759,38.5817372981629,14.22678519319133,4669.0,4447.0,10.585,16.987,1252.96,2481.46
55449923,55449928,19.91291983588285,19.71891673480407,36.8850091646835,4627.0,4347.7,20.103,35.281,560.567,2731.05
55449928,55449923,19.71891673480407,19.91291983588285,36.88500916467578,4347.7,4627.0,35.281,20.103,2731.05,560.567
391901292,391901293,22.8965785844954,23.474433141385504,10.172690929606214,4882.0,4781.3,4.069,12.413,845.349,1700.65
391901293,391901292,23.474433141385504,22.8965785844954,10.17269092960327,4781.3,4882.0,12.413,4.069,1700.65,845.349
453101053,453101048,12.553454133360706,12.581672696322263,19.3887559003111,4400.0,4682.0,19.716,9.633,698.245,1732.71
453101053,453101055,12.553454133360706,12.771800673916053,31.813315929355245,4400.0,4902.0,19.716,10.017,698.245,2367.04
453101048,453101053,12.581672696322263,12.553454133360706,19.38875590031545,4682.0,4400.0,9.633,19.716,1732.71,698.245
453101048,453101055,12.581672696322263,12.771800673916053,33.09028819319423,4682.0,4902.0,9.633,10.017,1732.71,2367.04
453101055,453101053,12.771800673916053,12.553454133360706,31.813315929355056,4902.0,4400.0,10.017,19.716,2367.04,698.245
453101055,453101048,12.771800673916053,12.581672696322263,33.09028819319472,4902.0,4682.0,10.017,9.633,2367.04,1732.71
391903299,391903297,28.123329211228192,27.995956078905763,25.321964615527584,4811.9,4568.0,10.762,11.331,1120.28,3391.34
